Country,HPI,Normalised_HPI,HDI,GDP_per_capita
Costa Rica,62.05755177,0.620575518,0.819,12472.833
Vanuatu,60.36387581,0.603638758,0.611,3017.666
Colombia,60.1651675,0.601651675,0.768,6239.274
Switzerland,60.10465034,0.601046503,0.962,92238.988
Ecuador,58.83121306,0.588312131,0.760,5978.915
Panama,57.93216985,0.579321699,0.817,14664.31
Jamaica,57.90362846,0.579036285,0.719,5354.83
Guatemala,57.87555297,0.57875553,0.642,4743.082
Honduras,57.73411068,0.577341107,0.632,2796.449
Uruguay,57.53003585,0.575300359,0.821,16742.911
New Zealand,57.43448131,0.574344813,0.937,48778.456
Philippines,57.10321898,0.57103219,0.718,3576.101
El Salvador,56.32657529,0.563265753,0.683,4551.161
United Kingdom,55.96785254,0.559678525,0.935,46421.611
Peru,55.89352023,0.558935202,0.780,6678.85
Nicaragua,55.19364394,0.551936439,0.664,2141.007
Tajikistan,55.15297812,0.551529781,0.676,925.135
Netherlands,54.94941705,0.549494171,0.943,57996.912
Dominican Republic,54.84726134,0.548472613,0.771,8961.864
Armenia,54.73393391,0.547339339,0.778,4679.46
Brazil,54.56892235,0.545689224,0.766,7754.611
Bangladesh,54.46704074,0.544670407,0.644,2497.741
Mexico,54.33059101,0.54330591,0.779,9869.076
Uzbekistan,54.14126925,0.541412693,0.726,2013.971
Serbia,53.21580638,0.532158064,0.811,9180.178
Nepal,53.05560432,0.530556043,0.611,1219.88
Thailand,52.90452836,0.529045284,0.804,7226.837
Germany,52.73131728,0.527313173,0.948,51237.643
Spain,52.3355153,0.523355153,0.908,30133.937
France,51.81547019,0.518154702,0.905,45185.845
Mauritius,51.52077767,0.515207777,0.817,9081.704
Finland,51.2716938,0.512716938,0.939,53595.186
Senegal,51.19518904,0.51195189,0.513,1606.604
Ireland,51.14850813,0.511485081,0.942,100144.757
Albania,51.03309375,0.510330938,0.810,6373.3
Norway,50.87519275,0.508751928,0.961,90763.532
Morocco,50.87309546,0.508730955,0.682,3934.31
Italy,50.69761829,0.506976183,0.897,35842.069
Sweden,50.50051612,0.505005161,0.947,60929.619
Argentina,49.98872592,0.499887259,0.852,10616.947
Indonesia,49.59797812,0.495979781,0.716,4362.677
Cyprus,49.4183661,0.494183661,0.897,31726.19
Greece,48.81002762,0.488100276,0.889,20135.275
Israel,48.24342147,0.482434215,0.921,52151.927
Azerbaijan,48.03454046,0.480345405,0.761,5397.928
Cambodia,47.96745103,0.47967451,0.598,1679.921
Iceland,47.95688519,0.479568852,0.960,69287.411
Slovenia,47.88454788,0.478845479,0.921,29298.411
Bosnia and Herzegovina,47.78103944,0.477810394,0.783,6793.839
Paraguay,47.60305593,0.476030559,0.732,5433.251
Japan,47.06372618,0.470637262,0.924,39882.554
Austria,46.81302886,0.468130289,0.919,53528.707
Sri Lanka,46.79711602,0.46797116,0.778,4016.024
Algeria,46.48894951,0.464889495,0.748,3659.709
Portugal,46.26293284,0.462629328,0.867,24694.112
Romania,46.21227471,0.462122747,0.832,14874.18
Croatia,46.20843547,0.462084355,0.861,17759.916
Liberia,46.0225342,0.460225342,0.484,677.387
Chile,45.64123987,0.456412399,0.861,16059.804
Singapore,45.54925389,0.455492539,0.943,77710.07
Hungary,45.44647998,0.4544648,0.853,18687.934
Denmark,45.32635001,0.4532635,0.946,68202.07
Iraq,45.27885667,0.452788567,0.696,5015.489
Kenya,45.18295778,0.451829578,0.581,2215.777
Pakistan,45.10544179,0.451054418,0.546,1564.434
Poland,45.0226049,0.450226049,0.881,17957.819
Uganda,44.76973343,0.447697334,0.525,1011.317
Yemen,44.62843323,0.446284332,0.461,519.486
Georgia,44.2727762,0.442727762,0.810,4995.154
Mozambique,44.18803798,0.44188038,0.456,491.839
Madagascar,44.1806548,0.441806548,0.510,516.529
Tunisia,43.92253442,0.439225344,0.745,3884.708
Jordan,43.85457626,0.438545763,0.727,4460.88
Malta,43.5028292,0.435028292,0.915,34402.58
Egypt,43.17843848,0.431784385,0.735,4145.939
Australia,43.11437338,0.431143734,0.941,63896.297
Belarus,42.88780952,0.428878095,0.817,7294.902
Libya,42.68543403,0.42685434,0.722,5813.324
Belgium,42.53497245,0.425349725,0.936,51450.593
Comoros,42.43860389,0.424386039,0.560,1395.028
Malaysia,41.74073777,0.417407378,0.810,11449.782
Ethiopia,41.72822439,0.417282244,0.498,974.185
Saudi Arabia,41.61211706,0.416121171,0.873,25463.654
Burkina Faso,41.53829397,0.41538294,0.452,891.782
Benin,41.37151967,0.413715197,0.530,1357.245
Niger,41.35091295,0.41350913,0.406,593.802
Montenegro,41.33038029,0.413303803,0.837,9433.03
Ukraine,40.90280442,0.409028044,0.786,4882.111
Canada,40.18359249,0.401835925,0.937,52387.812
Bulgaria,40.13077545,0.401307755,0.810,12300.185
Myanmar,40.04479079,0.400447908,0.598,1216.811
Cameroon,39.90883236,0.399088324,0.583,1667.318
Gabon,39.86493361,0.398649336,0.709,9482.513
Sudan,39.60313347,0.396031335,0.514,763.507
Ghana,39.52473405,0.395247341,0.631,2521.387
Mali,39.34192686,0.393419269,0.433,896.923
Rwanda,39.23448403,0.39234484,0.534,854.106
Lebanon,38.99983124,0.389998312,0.745,no data
Malawi,38.70654232,0.387065423,0.519,580.387
Kazakhstan,38.64493232,0.386449323,0.819,10106.663
Haiti,38.19941901,0.38199419,0.543,1765.242
Guinea,38.06100367,0.380610037,0.467,1128.438
Burundi,37.69524004,0.3769524,0.431,273.956
Togo,37.31041453,0.373104145,0.535,973.764
Lithuania,36.85726815,0.368572682,0.884,23739.08
Namibia,36.80911639,0.368091164,0.639,4826.016
Bhutan,36.67282917,0.366728292,0.671,3245.411
India,36.37213182,0.363721318,0.645,2234.337
South Africa,36.20526477,0.362052648,0.736,6965.188
Mauritania,34.66241836,0.346624184,0.563,2332.898
Estonia,34.44290255,0.344429026,0.896,27962.284
Zambia,34.41091087,0.344109109,0.575,1137.344
United Arab Emirates,34.30856703,0.34308567,0.920,43422.085
Latvia,34.14497266,0.341449727,0.871,20996.889
Nigeria,34.13821364,0.341382136,0.538,2088.09
Bahrain,33.5929738,0.335929738,0.882,26126.26
Kuwait,33.32497187,0.333249719,0.839,28884.3
Turkmenistan,32.95738249,0.329573825,0.742,10463.055
Botswana,31.85112214,0.318511221,0.717,7235.11
Luxembourg,31.72336953,0.317233695,0.927,134802.286
Trinidad and Tobago,31.61280299,0.31612803,0.821,17386.695
Chad,30.36278983,0.303627898,0.403,697.617
Afghanistan,29.40920321,0.294092032,0.488,no data
Sierra Leone,29.01673937,0.290167394,0.480,509.482
Zimbabwe,28.64019133,0.286401913,0.601,2321.629
Lesotho,27.30855036,0.273085504,0.524,1221.77
Central African Republic,25.21146334,0.252114633,0.411,525.329
Mongolia,24.46703662,0.244670366,0.746,4482.853
Qatar,24.32655376,0.243265538,0.859,68621.644
