Country,year,gdp
South America,2022,8781.194
Africa (Region),2023,2139.952
Asia and Pacific,2023,8792.752
Europe,2023,33999.912
North America,2023,60306.362
South America,2023,9314.199
Africa (Region),2024,2192.967
Asia and Pacific,2024,9324.33
Europe,2024,35379.419
North America,2024,61896.306
South America,2024,9669.079
Africa (Region),2025,2305.724
Asia and Pacific,2025,9896.908
Europe,2025,36800.753
North America,2025,63747.791
South America,2025,9978.449
Africa (Region),2026,2417.041
Asia and Pacific,2026,10497.948
Europe,2026,38155.7
North America,2026,65797.118
South America,2026,10362.045
Africa (Region),2027,2535.384
Asia and Pacific,2027,11114.74
Europe,2027,39400.879
North America,2027,67932.895
South America,2027,10753.553
Africa (Region),2028,2669.479
Asia and Pacific,2028,11790.022
Europe,2028,40550.449
North America,2028,70191.01
South America,2028,11164.553
